,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
0,0,C=O,1,2,1,30.010564684,0,0,1,0
1,0,C(CO)=O,2,4,2,60.021129368000004,0,0,2,1
2,0,O,0,2,1,18.010564684,0,0,0,0
3,1,C(C(CO)O)=O,3,6,3,90.031694052,0,0,3,2
4,1,C(C(C(CO)O)O)=O,4,8,4,120.04225873600001,0,0,4,3
5,1,C(O)=O,1,2,2,46.005479304,1,0,1,1
6,1,CO,1,4,1,32.026214748,0,0,1,1
7,1,C(CO)O,2,6,2,62.036779432,0,0,2,2
8,1,C(CO)(O)=O,2,4,3,76.016043988,1,0,2,2
9,2,C(C(C(C(CO)O)O)O)=O,5,10,5,150.05282342,0,0,5,4
10,2,C(C(C(C(C(CO)O)O)O)O)=O,6,12,6,180.063388104,0,0,6,5
11,2,C(C=O)=O,2,2,2,58.005479304000005,0,0,2,0
12,2,C(CO)(CO)=O,3,6,3,90.031694052,0,0,3,2
13,2,C(CO)(C(CO)O)=O,4,8,4,120.04225873600001,0,0,4,3
14,2,C(C(CO)O)O,3,8,3,92.047344116,0,0,3,3
15,2,C(C(C(CO)O)O)O,4,10,4,122.0579088,0,0,4,4
16,2,C(C(CO)O)(O)=O,3,6,4,106.02660867200001,1,0,3,3
17,2,C(C(C(CO)O)O)(O)=O,4,8,5,136.037173356,1,0,4,4
18,2,C(C(CO)(C(C(CO)O)O)O)=O,6,12,6,180.063388104,0,0,6,5
19,2,C(C(CO)(CO)O)=O,4,8,4,120.04225873600001,0,0,4,3
20,2,C(C(CO)(C(CO)O)O)=O,5,10,5,150.05282342,0,0,5,4
21,2,C(C(C(CO)O)(C(CO)O)O)=O,6,12,6,180.063388104,0,0,6,5
22,2,C(C(C(C(CO)O)O)O)(O)=O,5,10,6,166.04773804,1,0,5,5
23,2,C(C(C(C(C(CO)O)O)O)O)(O)=O,6,12,7,196.05830272400001,1,0,6,6
24,2,C(C(C)=O)=O,3,4,2,72.021129368,0,0,2,0
25,2,C(CC=O)=O,3,4,2,72.021129368,0,0,2,0
26,2,C(C(CCO)=O)=O,4,6,3,102.031694052,0,0,3,1
27,2,C(CC(C=O)O)=O,4,6,3,102.031694052,0,0,3,1
28,2,C(CC(CO)=O)=O,4,6,3,102.031694052,0,0,3,1
29,2,C(C(C(C)=O)O)=O,4,6,3,102.031694052,0,0,3,1
30,2,C(C)=O,2,4,1,44.026214748,0,0,1,0
31,2,C1C(C(C(O)O1)O)O,4,8,4,120.04225873600001,0,0,4,3
32,3,C(CC(C(C(C(CO)O)O)O)O)=O,7,14,6,194.079038168,0,0,6,5
33,3,C(C(C(C(CO)=O)O)O)=O,5,8,5,148.037173356,0,0,5,3
34,3,C(C(C(C=O)O)O)(C(CO)O)=O,6,10,6,178.04773804,0,0,6,4
35,3,C(C(CC(C=O)=O)O)=O,5,6,4,130.026608672,0,0,4,1
36,3,C(C(C=O)C(C=O)O)=O,5,6,4,130.026608672,0,0,4,1
37,3,C(C(C(C(C=O)=O)CO)O)=O,6,8,5,160.037173356,0,0,5,2
38,3,C(C(C(C=O)C(C=O)O)O)=O,6,8,5,160.037173356,0,0,5,2
39,3,C(C(C(CO)=O)C(C=O)O)=O,6,8,5,160.037173356,0,0,5,2
40,3,C(CC(C(C(C=O)O)O)=O)=O,6,8,5,160.037173356,0,0,5,2
41,3,C(C(C(CC(C=O)O)=O)O)=O,6,8,5,160.037173356,0,0,5,2
42,3,C(C(C(C=O)O)O)=O,4,6,4,118.02660867200001,0,0,4,2
43,3,C(CO)(C(C(CO)(CO)O)O)=O,6,12,6,180.063388104,0,0,6,5
44,3,C(C(CC(CO)(CO)O)=O)=O,6,10,5,162.05282342,0,0,5,3
45,3,C(C(C=O)C(CO)(CO)O)=O,6,10,5,162.05282342,0,0,5,3
46,3,C(C(C(CO)C(CO)(CO)O)=O)=O,7,12,6,192.063388104,0,0,6,4
47,3,C(C(C(CO)(CO)O)C(C=O)O)=O,7,12,6,192.063388104,0,0,6,4
48,3,C(C(C(CO)=O)C(CO)(CO)O)=O,7,12,6,192.063388104,0,0,6,4
49,3,C(CC(C(C(CO)(CO)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
50,3,C(C(C(CC(CO)(CO)O)=O)O)=O,7,12,6,192.063388104,0,0,6,4
51,3,C(CC(CO)(CO)O)=O,5,10,4,134.0579088,0,0,4,3
52,3,C(C(C(CO)(CO)O)O)=O,5,10,5,150.05282342,0,0,5,4
53,3,C(C(C)(C(C(CO)=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
54,3,C(C)(C(C(C(CO)=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
55,3,C(CC(C(C(CO)=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
56,3,C(C(CCO)(C(C(CO)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
57,3,C(C(C(C(CCO)=O)O)O)(CO)=O,7,12,6,192.063388104,0,0,6,4
58,3,C(CC(C(C(C(CO)=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
59,3,C(C(CC(C(C(CO)=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
60,3,C(CO)(CC(C(C(CO)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
61,3,C(CC(CO)(C(C(CO)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
62,3,C(C)(C(C(C(C(CO)=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
63,3,C(C(C(C)(C(C(CO)=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
64,3,C(CO)(C(C(C)O)O)=O,5,10,4,134.0579088,0,0,4,3
65,3,C(CO)(C(C(C(CO)O)O)O)=O,6,12,6,180.063388104,0,0,6,5
66,3,C(CO)(C(C(CO)O)O)=O,5,10,5,150.05282342,0,0,5,4
67,3,C(C(CC(CO)(C(CO)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
68,3,C(C(C=O)C(CO)(C(CO)O)O)=O,7,12,6,192.063388104,0,0,6,4
69,3,C(CC(CO)(C(CO)O)O)=O,6,12,5,164.068473484,0,0,5,4
70,3,C(C(C(CO)(C(CO)O)O)O)=O,6,12,6,180.063388104,0,0,6,5
71,3,C(C(C)(C(C(C(CO)O)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
72,3,C(C(C(C(C(CO)O)=O)O)O)(C)=O,7,12,6,192.063388104,0,0,6,4
73,3,C(CC(C(C(C(CO)O)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
74,3,C(C(C(C)O)O)(C(CO)O)=O,6,12,5,164.068473484,0,0,5,4
75,3,C(C(CO)O)(C(CO)O)=O,5,10,5,150.05282342,0,0,5,4
76,3,C(C(C(CO)O)O)(C(CO)O)=O,6,12,6,180.063388104,0,0,6,5
77,3,C(C(CC(C(CO)(CO)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
78,3,C(C(C=O)C(C(CO)(CO)O)O)=O,7,12,6,192.063388104,0,0,6,4
79,3,C(CC(C(CO)(CO)O)O)=O,6,12,5,164.068473484,0,0,5,4
80,3,C(C(C(C(CO)(CO)O)O)O)=O,6,12,6,180.063388104,0,0,6,5
81,3,C(CC(C(CO)(C(CO)O)O)O)=O,7,14,6,194.079038168,0,0,6,5
82,3,C(C(C)(CC(C=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
83,3,C(C(C=O)C(C=O)(C)O)=O,6,8,4,144.042258736,0,0,4,1
84,3,C(C(C)(C(C(C=O)=O)CO)O)=O,7,10,5,174.05282342,0,0,5,2
85,3,C(C(C(C=O)C(C=O)(C)O)O)=O,7,10,5,174.05282342,0,0,5,2
86,3,C(C(C)(C(C=O)C(CO)=O)O)=O,7,10,5,174.05282342,0,0,5,2
87,3,C(C(C)(C(C(CC=O)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
88,3,C(C(C)(CC(C(C=O)O)=O)O)=O,7,10,5,174.05282342,0,0,5,2
89,3,C(C(C)(CC=O)O)=O,5,8,3,116.047344116,0,0,3,1
90,3,C(C(C)(C(C=O)O)O)=O,5,8,4,132.042258736,0,0,4,2
91,3,C(C)(C(CC(C=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
92,3,C(C(C=O)C(C(C)=O)O)=O,6,8,4,144.042258736,0,0,4,1
93,3,C(C(C(C(C=O)=O)CO)O)(C)=O,7,10,5,174.05282342,0,0,5,2
94,3,C(C(C(C=O)C(C(C)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
95,3,C(C(C(CO)=O)C(C(C)=O)O)=O,7,10,5,174.05282342,0,0,5,2
96,3,C(CC(C(C(C(C)=O)O)O)=O)=O,7,10,5,174.05282342,0,0,5,2
97,3,C(C(C(CC(C(C)=O)O)=O)O)=O,7,10,5,174.05282342,0,0,5,2
98,3,C(CC(C(C)=O)O)=O,5,8,3,116.047344116,0,0,3,1
99,3,C(C(C(C(C)=O)O)O)=O,5,8,4,132.042258736,0,0,4,2
100,3,C(CC(CC(C=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
101,3,C(C(CCO)(CC(C=O)=O)O)=O,7,10,5,174.05282342,0,0,5,2
102,3,C(C(CC(C=O)=O)O)(CCO)=O,7,10,5,174.05282342,0,0,5,2
103,3,C(CC(C(CC(C=O)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
104,3,C(C(CC(CC(C=O)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
105,3,C(CO)(CC(CC(C=O)=O)O)=O,7,10,5,174.05282342,0,0,5,2
106,3,C(CC(CO)(CC(C=O)=O)O)=O,7,10,5,174.05282342,0,0,5,2
107,3,C(C)(C(C(CC(C=O)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
108,3,C(C(C(C)(CC(C=O)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
109,3,C(C(CC(C)O)=O)=O,5,8,3,116.047344116,0,0,3,1
110,3,C(C(CC(C(CO)O)O)=O)=O,6,10,5,162.05282342,0,0,5,3
111,3,C(C(CC(C(C(CO)O)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
112,3,C(C(CC(CO)O)=O)=O,5,8,4,132.042258736,0,0,4,2
113,3,C(C(C=O)C(CC=O)O)=O,6,8,4,144.042258736,0,0,4,1
114,3,C(CC(C(C(C=O)=O)CO)O)=O,7,10,5,174.05282342,0,0,5,2
115,3,C(CC(C(C=O)C(C=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
116,3,C(CC(C(C=O)C(CO)=O)O)=O,7,10,5,174.05282342,0,0,5,2
117,3,C(CC(C(C(CC=O)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
118,3,C(C(C(CC(CC=O)O)=O)O)=O,7,10,5,174.05282342,0,0,5,2
119,3,C(CC(CC=O)O)=O,5,8,3,116.047344116,0,0,3,1
120,3,C(CC(C(C=O)O)O)=O,5,8,4,132.042258736,0,0,4,2
121,3,C(C(C=O)C(C=O)(CCO)O)=O,7,10,5,174.05282342,0,0,5,2
122,3,C(C(C=O)C(C(CCO)=O)O)=O,7,10,5,174.05282342,0,0,5,2
123,3,C(C(C=O)C(C(CC=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
124,3,C(C(C=O)C(CC(C=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
125,3,C(C(C=O)C(CC(CO)=O)O)=O,7,10,5,174.05282342,0,0,5,2
126,3,C(C(C=O)C(CO)(CC=O)O)=O,7,10,5,174.05282342,0,0,5,2
127,3,C(C(C=O)C(C(C(C)=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
128,3,C(C(C=O)C(C)(C(C=O)O)O)=O,7,10,5,174.05282342,0,0,5,2
129,3,C(C(C=O)C(C)O)=O,5,8,3,116.047344116,0,0,3,1
130,3,C(C(C=O)C(C(CO)O)O)=O,6,10,5,162.05282342,0,0,5,3
131,3,C(C(C=O)C(C(C(CO)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
132,3,C(C(C=O)CO)=O,4,6,3,102.031694052,0,0,3,1
133,3,C(C(C=O)C(CO)O)=O,5,8,4,132.042258736,0,0,4,2
134,3,C(C(CCO)(CC=O)O)=O,6,10,4,146.0579088,0,0,4,2
135,3,C(C(CCO)(C(C=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
136,3,C(CC(C(CCO)=O)O)=O,6,10,4,146.0579088,0,0,4,2
137,3,C(C(C(C=O)O)O)(CCO)=O,6,10,5,162.05282342,0,0,5,3
138,3,C(C(C(CO)C(C)O)=O)=O,6,10,4,146.0579088,0,0,4,2
139,3,C(C(C(CO)C(C(CO)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
140,3,C(C(C(CO)CO)=O)=O,5,8,4,132.042258736,0,0,4,2
141,3,C(C(C(CO)C(CO)O)=O)=O,6,10,5,162.05282342,0,0,5,3
142,3,C(CC(C(CC=O)O)O)=O,6,10,4,146.0579088,0,0,4,2
143,3,C(CC(C(C(C=O)O)O)O)=O,6,10,5,162.05282342,0,0,5,3
144,3,C(CC(CC(C=O)O)O)=O,6,10,4,146.0579088,0,0,4,2
145,3,C(C(C(CC(C=O)O)O)O)=O,6,10,5,162.05282342,0,0,5,3
146,3,C(C(C(C)O)C(C=O)O)=O,6,10,4,146.0579088,0,0,4,2
147,3,C(C(C(C(CO)O)O)C(C=O)O)=O,7,12,6,192.063388104,0,0,6,4
148,3,C(C(CO)C(C=O)O)=O,5,8,4,132.042258736,0,0,4,2
149,3,C(C(C(CO)O)C(C=O)O)=O,6,10,5,162.05282342,0,0,5,3
150,3,C(CC(CC(CO)=O)O)=O,6,10,4,146.0579088,0,0,4,2
151,3,C(C(C(CC(CO)=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
152,3,C(CC(CO)(CC=O)O)=O,6,10,4,146.0579088,0,0,4,2
153,3,C(CC(CO)(C(C=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
154,3,C(C(C(CO)=O)C(C)O)=O,6,10,4,146.0579088,0,0,4,2
155,3,C(C(C(CO)=O)C(C(CO)O)O)=O,7,12,6,192.063388104,0,0,6,4
156,3,C(C(C(CO)=O)CO)=O,5,8,4,132.042258736,0,0,4,2
157,3,C(C(C(CO)=O)C(CO)O)=O,6,10,5,162.05282342,0,0,5,3
158,3,C(CC(C(C(C)O)O)=O)=O,6,10,4,146.0579088,0,0,4,2
159,3,C(CC(C(C(C(CO)O)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
160,3,C(CC(C(CO)O)=O)=O,5,8,4,132.042258736,0,0,4,2
161,3,C(CC(C(C(CO)O)O)=O)=O,6,10,5,162.05282342,0,0,5,3
162,3,C(CC(C(C(C)=O)O)O)=O,6,10,4,146.0579088,0,0,4,2
163,3,C(C(C(C(C(C)=O)O)O)O)=O,6,10,5,162.05282342,0,0,5,3
164,3,C(CC(C)(C(C=O)O)O)=O,6,10,4,146.0579088,0,0,4,2
165,3,C(C(C(C)(C(C=O)O)O)O)=O,6,10,5,162.05282342,0,0,5,3
166,3,C(C(C(CC(C)O)=O)O)=O,6,10,4,146.0579088,0,0,4,2
